Latitude,Longitude,NumMosquitos,WnvPresent,AvgSpeed,Cool,Depart,DewPoint,Heat,PrecipTotal,ResultSpeed,Tavg,WetBulb,SunHours,Humidity,DewPoint_lag_1,PrecipTotal_lag_1,ResultDir_lag_1,ResultSpeed_lag_1,Tavg_lag_1,WetBulb_lag_1,SunHours_lag_1,Humidity_lag_1,AvgSpeed_lag_3,DewPoint_lag_3,PrecipTotal_lag_3,ResultDir_lag_3,ResultSpeed_lag_3,SeaLevel_lag_3,StnPressure_lag_3,Tavg_lag_3,WetBulb_lag_3,SunHours_lag_3,Humidity_lag_3,AvgSpeed_lag_7,DewPoint_lag_7,PrecipTotal_lag_7,ResultDir_lag_7,ResultSpeed_lag_7,SeaLevel_lag_7,Tavg_lag_7,WetBulb_lag_7,SunHours_lag_7,Humidity_lag_7,AvgSpeed_lag_14,DewPoint_lag_14,PrecipTotal_lag_14,ResultSpeed_lag_14,Tavg_lag_14,WetBulb_lag_14,SunHours_lag_14,Trap_T002,Trap_T003,Trap_T006,Trap_T013,Trap_T014,Trap_T017,Trap_T018,Trap_T043,Trap_T046,Trap_T086,Trap_T115,Trap_T143,Trap_T148,Trap_T200,Trap_T223,Trap_T225,Trap_T230,Trap_T233,Trap_T235,Trap_T900,SpeciesType_0,SpeciesType_1,SpeciesType_2,CodeSumScore_0,CodeSumScore_1
41.867108,-87.654224,1,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41.867108,-87.654224,2,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.862292,-87.64886,1,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.896282,-87.655232,1,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.907645,-87.760886,1,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.9216,-87.666455,2,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.720848,-87.666014,3,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.919343,-87.694259,1,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41.921965,-87.632085,2,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41.921965,-87.632085,3,0,7.4,12,13,59,0,0.0,5.8,77,66,14.933333333333335,50.0,49.0,0.0,8.0,4.7,65.0,57.0,14.916666666666666,55.6,7.8,55.0,0.28,15.0,2.5,30.1,29.42,60.0,57.0,14.883333333333333,86.1,10.6,44.0,0.0,16.0,10.1,30.05,74.0,58.0,14.766666666666666,16.7,10.8,56.0,0.6,8.1,69.0,61.0,14.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
